fips,state,county,urban,urban_index,missing_urban,gisjoin,countya,tracta,blkgrpa,geo_id,tl_geo_id,name_e,median_age,n_65_plus,total_pop,latino,white,black,bachelor_plus,median_income,ssi,snap,married,veteran,owner_occupied,household_size,broadband,employed,rent_as_perc_income,block_group,bg_GEOID,bg_state_fp,bg_county_fp,bg_population,bg_hh_population,bg_land_area,bg_water_area,num_precincts_contributing,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOFUE,G20PREOHAM,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR,total_votes,turnout,dem_share,median_age,perc_65_plus,perc_latino,perc_white,perc_black,perc_bachelor_plus,perc_ssi,perc_snap,perc_married,perc_veteran,perc_owner_occupied,household_size,perc_broadband,perc_employed,rent_as_perc_income,median_income,perc_vote_dem,perc_voter_turnout
34001,NJ,atlantic,9,3.0,0.0,G34000100001001,1,100,1,340010001001,340010001001.0,"Block Group 1, Census Tract 1, Atlantic County, New Jersey",28.6,0.01,899.0,25.81,23.58,1.11,15.57,43333.0,0.0,10.57,40.27,0.0,21.58,2.87,12.68,50.83,0.4779412,340010001001,340010001001,34,1,1073,1073,766415,228979,3,65.6348837538591,152.64017038579,0.86952174600105,0.304585149479283,0.260351447042485,0.564936596521767,0.0,0.0,148.50867940039,55.9222911378022,0.564936596521767,2.56433153556635,0.609170298958565,220.2744490786937,0.2052883961590808,0.6993019472034266,1,1,3,1,2,1,1.0,3,2,1,2,2,2,2,3,1,3,1
34003,NJ,bergen,10,3.0,0.0,G34000300010011,3,1001,1,340030010011,340030010011.0,"Block Group 1, Census Tract 10.01, Bergen County, New Jersey",45.2,0.02,1399.0,4.65,85.49,1.5,52.39,114833.0,0.0,0.0,60.33,2.86,30.09,2.64,8.36,36.95,0.75838923,340030010011,340030010011,34,3,1378,1287,1779259,6974,2,382.958408748146,456.647973791888,7.25529176471773,2.02630925286604,0.416013181191396,0.0,0.0,0.416013181191396,429.925778092165,400.779178842749,4.84880709938758,2.84041673088519,1.61029607167465,849.7200099200005,0.6166328083599423,0.5438833997550205,3,2,1,3,2,3,1.0,1.0,3,2,2,2,1,1,3,2,2,3
34005,NJ,burlington,10,3.0,0.0,G34000507001021,5,700102,1,340057001021,340057001021.0,"Block Group 1, Census Tract 7001.02, Burlington County, New Jersey",41.8,0.01,2315.0,3.2,84.58,2.85,22.51,93912.0,2.2,0.65,40.35,8.21,35.81,2.28,4.06,59.61,0.45360824,340057001021,340057001021,34,5,2225,2225,1398482,36337,8,626.746147466972,933.585662615505,13.1769975045897,5.03316540267278,2.03164919194649,2.05579406788395,0.986830597372838,1.97189853998604,914.408797635322,620.838663765318,14.9464505329854,5.05934179981648,2.02769260786999,1585.588145386929,0.712623885567159,0.5983250848203606,2,1,1,3,2,2,3,2,2,3,3,1,1,3,2,2,2,3
34007,NJ,camden,10,3.0,0.0,G34000706002001,7,600200,1,340076002001,340076002001.0,"Block Group 1, Census Tract 6002, Camden County, New Jersey",34.1,0.0,1156.0,28.03,0.0,59.26,9.95,,6.66,7.27,22.32,4.24,14.79,2.93,12.37,41.18,0.3923077,340076002001,340076002001,34,7,1144,1144,984986,55093,7,12.2465952109627,271.995671193743,0.0,0.0599614068099367,0.0037366756939191,0.0161413915865315,0.0,0.0455327830810579,276.608885214427,10.3280452527202,0.816838376865815,1.57200257906404,0.778795010162567,284.36763866187715,0.24857311071842408,0.9569149396187057,1,1,3,1,3,1,3,3,1,3,1,3,2,1,2,,3,1
34009,NJ,cape may,9,3.0,0.0,G34000900201011,9,20101,1,340090201011,340090201011.0,"Block Group 1, Census Tract 201.01, Cape May County, New Jersey",41.0,0.01,1200.0,3.5,76.92,19.92,31.75,106625.0,3.42,1.67,55.5,6.42,25.58,2.4,11.42,61.0,0.07253886,340090201011,340090201011,34,9,1074,1074,396882,92497,4,296.900990559019,260.913549665979,3.01116643623465,2.10631949576286,0.0,0.551552111156368,0.551552111156368,0.0,249.921165329565,283.897613828053,6.32047910317286,2.65939222280351,1.00321527345012,564.0351303793084,0.5251723746548496,0.46774246788321056,2,1,1,2,3,2,3,2,3,3,2,2,2,3,1,2,1,2
34011,NJ,cumberland,8,2.0,0.0,G34001100101011,11,10101,1,340110101011,340110101011.0,"Block Group 1, Census Tract 101.01, Cumberland County, New Jersey",45.4,0.02,870.0,6.21,97.93,0.0,9.43,85521.0,1.84,1.15,46.21,4.83,36.09,2.23,14.25,56.32,0.0,340110101011,340110101011,34,11,1213,1213,51748018,4053360,4,606.307587520513,238.260282747725,14.1657492762413,2.24960546826933,0.0,2.03310212940703,1.01655106470352,1.01655106470352,245.009099152533,564.996034915785,8.19837414723609,10.9655583728764,6.68285077520002,865.0494292715628,0.713148746307966,0.28210910115732035,3,2,1,3,1,1,2,2,2,3,3,1,3,2,1,1,1,3
34013,NJ,essex,10,3.0,0.0,G34001300001001,13,100,1,340130001001,340130001001.0,"Block Group 1, Census Tract 1, Essex County, New Jersey",33.4,0.01,2065.0,41.11,51.38,11.82,15.01,73407.0,1.79,2.62,29.06,3.58,26.0,2.73,10.61,65.86,0.3277027,340130001001,340130001001,34,13,2668,2668,209434,0,3,144.365691373508,532.975589395934,0.359228929597438,1.40410979252825,0.359228929597438,0.359228929597438,1.26801224541519,1.04488086293082,532.975589395934,99.6398901928041,4.0762318304717,4.0762318304717,0.359228929597438,682.1359704591084,0.25567315234599264,0.7868641769338016,1,1,3,2,3,1,2,2,1,2,2,2,2,3,2,1,3,1
34015,NJ,gloucester,10,3.0,0.0,G34001505001001,15,500100,1,340155001001,340155001001.0,"Block Group 1, Census Tract 5001, Gloucester County, New Jersey",56.5,0.05,590.0,7.12,93.22,9.83,35.08,100536.0,1.53,2.2,51.86,10.34,46.1,2.23,18.47,60.51,0.0,340155001001,340155001001,34,15,785,782,651000,835252,5,222.718202806455,228.571653786293,5.39900133244967,2.21321743562729,0.101199187719277,0.477018956705182,0.582850281370642,0.57821814442446,233.565498482431,206.653638795234,6.17807380666396,2.99692204678776,0.57821814442446,460.64136193104457,0.5868042827147064,0.5064852454518164,3,3,2,3,2,2,2,2,3,3,3,1,3,3,1,2,1,2
34017,NJ,hudson,10,3.0,0.0,G34001700001011,17,101,1,340170001011,340170001011.0,"Block Group 1, Census Tract 1.01, Hudson County, New Jersey",39.3,0.0,2497.0,28.63,26.99,7.49,46.26,119375.0,2.96,1.2,57.35,0.84,22.23,2.97,10.41,65.72,0.42857143,340170001011,340170001011,34,17,2494,2494,273170,0,2,220.557338722392,489.742433401324,1.25442566624836,1.25442566624836,0.0,0.885424615356428,0.0,0.0,470.040623792242,183.293569785833,5.23928120231279,11.2898309962352,1.25442566624836,713.6940480715691,0.28616441382179997,0.6894869639857121,2,1,3,1,2,3,3,2,3,1,2,3,2,3,2,2,3,1
34019,NJ,hunterdon,10,3.0,0.0,G34001900101001,19,10100,1,340190101001,340190101001.0,"Block Group 1, Census Tract 101, Hunterdon County, New Jersey",57.1,0.01,2340.0,1.79,80.43,12.82,48.33,223432.0,0.0,0.0,62.91,8.46,33.46,2.94,9.27,50.47,0.0,340190101001,340190101001,34,19,2496,2496,19705207,86277,2,721.551476904588,625.318570804706,7.12898213505882,6.12898213505882,0.0,0.0,0.0,0.0,567.63345032553,758.978633113647,25.8626651415294,5.34673660129412,1.78224553376471,1360.1280119794114,0.5449230817225206,0.464275355939665,3,1,1,2,3,3,1.0,1.0,3,3,3,3,1,2,1,3,1,2
