county_name,precinct_num,candidate,score,confidence,normalized_score
atlantic,340010001001,gerardo cedrone,51.89,0.842,0.18511450381679373
bergen,340030010011,gerardo cedrone,50.48,0.842,0.0
burlington,340057001021,gerardo cedrone,50.69,0.842,0.0
camden,340076002001,gerardo cedrone,52.59,0.842,0.31570881226053665
cape may,340090201011,gerardo cedrone,50.62,0.842,0.0
cumberland,340110101011,gerardo cedrone,49.19,0.842,0.0
essex,340130001001,gerardo cedrone,51.76,0.842,0.09865005192107956
gloucester,340155001001,gerardo cedrone,49.85,0.842,0.0
hudson,340170001011,gerardo cedrone,52.08,0.842,0.1404335532516489
hunterdon,340190101001,gerardo cedrone,50.25,0.842,0.0
mercer,340210001001,gerardo cedrone,52.5,0.842,0.29532858273950896
middlesex,340230001011,gerardo cedrone,53.34,0.895,0.0
monmouth,340258001011,gerardo cedrone,49.8,0.842,0.0
morris,340270401011,gerardo cedrone,50.6,0.842,0.0
ocean,340297101011,gerardo cedrone,49.52,0.842,0.0
passaic,340311165001,gerardo cedrone,50.8,0.842,0.0
salem,340330201001,gerardo cedrone,50.46,0.842,0.0
somerset,340350501001,gerardo cedrone,52.59,0.842,0.2578906851424175
sussex,340373710001,gerardo cedrone,49.59,0.842,0.0
union,340390302001,gerardo cedrone,52.47,0.842,0.31782945736434104
warren,340410306001,gerardo cedrone,51.07,0.842,0.0
atlantic,340010001002,gerardo cedrone,52.26,0.842,0.3060884070058379
atlantic,340010002001,gerardo cedrone,51.86,0.842,0.28087831655992684
atlantic,340010002002,gerardo cedrone,50.38,0.842,0.0
atlantic,340010002003,gerardo cedrone,49.31,0.842,0.0
atlantic,340010003001,gerardo cedrone,52.51,0.842,0.28264331210191057
atlantic,340010003002,gerardo cedrone,49.01,0.789,0.2451612903225803
atlantic,340010003003,gerardo cedrone,51.81,0.842,0.10404040404040417
atlantic,340010004001,gerardo cedrone,51.55,0.842,0.0587570621468922
atlantic,340010004002,gerardo cedrone,51.26,0.842,0.0
atlantic,340010004003,gerardo cedrone,51.72,0.842,0.17441860465116263
atlantic,340010005001,gerardo cedrone,52.2,0.842,0.29390997352162435
atlantic,340010005002,gerardo cedrone,51.87,0.842,0.22981956315289612
atlantic,340010011001,gerardo cedrone,52.03,0.842,0.3048264182895852
atlantic,340010011002,gerardo cedrone,51.75,0.842,0.17260787992495336
atlantic,340010012001,gerardo cedrone,52.55,0.842,0.31850117096018715
atlantic,340010012002,gerardo cedrone,51.86,0.842,0.1317427385892113
atlantic,340010012003,gerardo cedrone,52.07,0.842,0.27734033245844286
atlantic,340010013001,gerardo cedrone,52.12,0.842,0.11802973977695133
atlantic,340010013002,gerardo cedrone,52.59,0.842,0.2585794094173984
atlantic,340010014001,gerardo cedrone,52.63,0.842,0.3355957767722476
atlantic,340010014002,gerardo cedrone,49.7,0.789,0.24462365591397878
atlantic,340010014003,gerardo cedrone,52.17,0.842,0.27484874675885906
atlantic,340010015001,gerardo cedrone,52.11,0.842,0.30438184663536777
atlantic,340010015002,gerardo cedrone,52.18,0.842,0.29834254143646416
atlantic,340010019001,gerardo cedrone,52.25,0.842,0.2559523809523808
atlantic,340010019002,gerardo cedrone,51.61,0.842,0.0987903225806449
atlantic,340010023001,gerardo cedrone,52.7,0.842,0.3456254519161245
atlantic,340010023002,gerardo cedrone,51.82,0.842,0.315745393634841
atlantic,340010024001,gerardo cedrone,52.31,0.842,0.2764363030807661
atlantic,340010024002,gerardo cedrone,51.8,0.842,0.12394366197183095
atlantic,340010024003,gerardo cedrone,52.66,0.842,0.31042471042471004
atlantic,340010024004,gerardo cedrone,52.64,0.842,0.3475479744136461
atlantic,340010025001,gerardo cedrone,51.72,0.842,0.1819029850746265
atlantic,340010025002,gerardo cedrone,52.27,0.842,0.25680272108843566
atlantic,340010025003,gerardo cedrone,51.84,0.842,0.13389513108614287
atlantic,340010025004,gerardo cedrone,52.16,0.842,0.12524271844660181
atlantic,340010101011,gerardo cedrone,49.97,0.842,0.0
atlantic,340010101012,gerardo cedrone,49.42,0.842,0.0
atlantic,340010101013,gerardo cedrone,50.41,0.842,0.0
atlantic,340010101014,gerardo cedrone,49.31,0.842,0.0
atlantic,340010101021,gerardo cedrone,49.14,0.842,0.0
atlantic,340010101022,gerardo cedrone,50.07,0.842,0.0
atlantic,340010101023,gerardo cedrone,49.53,0.842,0.0
atlantic,340010101041,gerardo cedrone,50.47,0.842,0.0
atlantic,340010101042,gerardo cedrone,49.6,0.842,0.0
atlantic,340010101051,gerardo cedrone,49.53,0.842,0.0
atlantic,340010101052,gerardo cedrone,50.19,0.842,0.0
atlantic,340010101053,gerardo cedrone,50.55,0.842,0.0
atlantic,340010102001,gerardo cedrone,50.58,0.842,0.0
atlantic,340010102002,gerardo cedrone,52.84,0.895,0.0
atlantic,340010102003,gerardo cedrone,53.44,0.895,0.0
atlantic,340010102004,gerardo cedrone,53.06,0.895,0.0
atlantic,340010102005,gerardo cedrone,49.7,0.842,0.0
atlantic,340010103001,gerardo cedrone,52.03,0.842,0.11382113821138254
atlantic,340010103002,gerardo cedrone,50.42,0.842,0.0
atlantic,340010104011,gerardo cedrone,49.42,0.842,0.0
atlantic,340010104012,gerardo cedrone,50.34,0.842,0.0
atlantic,340010104013,gerardo cedrone,54.43,0.895,0.0
atlantic,340010104031,gerardo cedrone,51.97,0.842,0.1459403905447072
atlantic,340010104032,gerardo cedrone,51.53,0.842,0.06071019473081344
atlantic,340010104033,gerardo cedrone,51.54,0.842,0.010575793184488405
atlantic,340010105011,gerardo cedrone,50.17,0.842,0.0
atlantic,340010105012,gerardo cedrone,49.64,0.842,0.0
atlantic,340010105013,gerardo cedrone,50.2,0.842,0.0
atlantic,340010105014,gerardo cedrone,49.8,0.842,0.0
atlantic,340010105031,gerardo cedrone,52.36,0.842,0.1951438848920864
atlantic,340010105032,gerardo cedrone,51.81,0.842,0.11065149948293701
atlantic,340010105033,gerardo cedrone,51.94,0.842,0.04471101417666265
atlantic,340010105034,gerardo cedrone,51.28,0.842,0.0
atlantic,340010105051,gerardo cedrone,52.24,0.895,0.0
atlantic,340010105052,gerardo cedrone,50.38,0.842,0.0
atlantic,340010105061,gerardo cedrone,50.45,0.842,0.0
atlantic,340010105062,gerardo cedrone,49.99,0.842,0.0
atlantic,340010105063,gerardo cedrone,49.51,0.842,0.0
atlantic,340010106001,gerardo cedrone,52.09,0.842,0.11566018423746192
atlantic,340010106002,gerardo cedrone,51.14,0.842,0.0
atlantic,340010106003,gerardo cedrone,51.99,0.842,0.21229586935638825
atlantic,340010106004,gerardo cedrone,51.21,0.842,0.0
atlantic,340010107001,gerardo cedrone,50.01,0.842,0.0
atlantic,340010107002,gerardo cedrone,50.36,0.842,0.0
atlantic,340010107003,gerardo cedrone,49.06,0.842,0.0
atlantic,340010107004,gerardo cedrone,50.63,0.842,0.0
atlantic,340010108001,gerardo cedrone,51.02,0.842,0.0
atlantic,340010108002,gerardo cedrone,50.17,0.842,0.0
atlantic,340010109001,gerardo cedrone,51.48,0.842,0.0
atlantic,340010109002,gerardo cedrone,50.91,0.842,0.0
atlantic,340010109003,gerardo cedrone,50.46,0.842,0.0
atlantic,340010110001,gerardo cedrone,49.58,0.842,0.0
atlantic,340010110002,gerardo cedrone,50.53,0.842,0.0
atlantic,340010111001,gerardo cedrone,53.26,0.895,0.0
atlantic,340010111002,gerardo cedrone,50.88,0.842,0.0
atlantic,340010111003,gerardo cedrone,52.91,0.895,0.0
atlantic,340010112011,gerardo cedrone,50.01,0.842,0.0
atlantic,340010112012,gerardo cedrone,50.01,0.842,0.0
atlantic,340010112021,gerardo cedrone,49.82,0.842,0.0
atlantic,340010112022,gerardo cedrone,49.86,0.842,0.0
atlantic,340010112023,gerardo cedrone,50.34,0.842,0.0
atlantic,340010112024,gerardo cedrone,51.07,0.842,0.0
atlantic,340010113001,gerardo cedrone,50.23,0.842,0.0
atlantic,340010113002,gerardo cedrone,50.0,0.842,0.0
atlantic,340010113003,gerardo cedrone,50.61,0.842,0.0
atlantic,340010114011,gerardo cedrone,49.73,0.842,0.0
atlantic,340010114012,gerardo cedrone,51.24,0.842,0.0
atlantic,340010114013,gerardo cedrone,50.15,0.842,0.0
atlantic,340010114031,gerardo cedrone,51.08,0.842,0.0
atlantic,340010114032,gerardo cedrone,51.92,0.842,0.15480769230769229
atlantic,340010114033,gerardo cedrone,51.53,0.842,0.0
atlantic,340010114041,gerardo cedrone,50.89,0.842,0.0
atlantic,340010114042,gerardo cedrone,51.78,0.842,0.11715481171548162
atlantic,340010114043,gerardo cedrone,51.0,0.842,0.0
atlantic,340010114044,gerardo cedrone,51.8,0.842,0.12526766595289027
atlantic,340010115001,gerardo cedrone,50.81,0.842,0.0
atlantic,340010115002,gerardo cedrone,51.66,0.842,0.02024746906636667
atlantic,340010115003,gerardo cedrone,51.6,0.842,0.0
atlantic,340010116001,gerardo cedrone,50.16,0.842,0.0
atlantic,340010116002,gerardo cedrone,50.78,0.842,0.0
atlantic,340010116003,gerardo cedrone,50.25,0.842,0.0
atlantic,340010117021,gerardo cedrone,52.61,0.842,0.29952830188679247
atlantic,340010117022,gerardo cedrone,51.85,0.842,0.15959595959595946
atlantic,340010117031,gerardo cedrone,51.35,0.842,0.0
atlantic,340010117032,gerardo cedrone,52.03,0.842,0.03326180257510754
atlantic,340010117033,gerardo cedrone,53.48,0.895,0.0
atlantic,340010117041,gerardo cedrone,51.1,0.842,0.0
atlantic,340010117042,gerardo cedrone,51.81,0.842,0.15510204081632678
atlantic,340010118031,gerardo cedrone,51.72,0.842,0.0
atlantic,340010118032,gerardo cedrone,52.25,0.842,0.19490781387181727
atlantic,340010118033,gerardo cedrone,50.69,0.842,0.0
atlantic,340010118041,gerardo cedrone,50.64,0.842,0.0
atlantic,340010118042,gerardo cedrone,50.0,0.842,0.0
atlantic,340010118043,gerardo cedrone,49.79,0.842,0.0
atlantic,340010118051,gerardo cedrone,50.33,0.842,0.0
atlantic,340010118061,gerardo cedrone,50.3,0.842,0.0
atlantic,340010118062,gerardo cedrone,50.42,0.842,0.0
atlantic,340010118063,gerardo cedrone,50.65,0.842,0.0
atlantic,340010118071,gerardo cedrone,51.02,0.842,0.0
atlantic,340010118072,gerardo cedrone,50.53,0.842,0.0
atlantic,340010118073,gerardo cedrone,53.06,0.895,0.0
atlantic,340010118081,gerardo cedrone,51.85,0.842,0.0
atlantic,340010118082,gerardo cedrone,53.85,0.895,0.0
atlantic,340010119011,gerardo cedrone,52.64,0.842,0.3475479744136461
atlantic,340010119012,gerardo cedrone,51.59,0.842,0.12473118279569936
atlantic,340010119021,gerardo cedrone,52.39,0.842,0.29129373474369397
atlantic,340010119022,gerardo cedrone,52.22,0.842,0.2958435207823958
atlantic,340010120001,gerardo cedrone,52.36,0.842,0.32505818463925507
atlantic,340010120002,gerardo cedrone,52.26,0.842,0.27512355848434894
atlantic,340010121001,gerardo cedrone,52.39,0.842,0.3098591549295775
atlantic,340010121002,gerardo cedrone,52.39,0.842,0.29129373474369397
atlantic,340010122001,gerardo cedrone,52.56,0.842,0.3452034883720931
atlantic,340010122002,gerardo cedrone,52.3,0.842,0.3144654088050313
atlantic,340010122003,gerardo cedrone,52.34,0.842,0.23286467486819026
atlantic,340010123021,gerardo cedrone,50.64,0.842,0.0
atlantic,340010123022,gerardo cedrone,51.51,0.842,0.0
atlantic,340010124011,gerardo cedrone,50.67,0.842,0.0
atlantic,340010124012,gerardo cedrone,49.31,0.842,0.0
atlantic,340010124021,gerardo cedrone,50.06,0.842,0.0
atlantic,340010124022,gerardo cedrone,50.25,0.842,0.0
atlantic,340010125011,gerardo cedrone,49.57,0.842,0.0
atlantic,340010125012,gerardo cedrone,52.13,0.895,0.0
atlantic,340010125021,gerardo cedrone,50.18,0.842,0.0
atlantic,340010125022,gerardo cedrone,49.17,0.842,0.0
atlantic,340010126021,gerardo cedrone,50.24,0.842,0.0
atlantic,340010127011,gerardo cedrone,49.85,0.842,0.0
atlantic,340010127012,gerardo cedrone,49.79,0.842,0.0
atlantic,340010127013,gerardo cedrone,51.11,0.842,0.0
atlantic,340010127021,gerardo cedrone,51.32,0.842,0.0
atlantic,340010128011,gerardo cedrone,51.4,0.842,0.003821656050955558
atlantic,340010128012,gerardo cedrone,51.53,0.842,0.08193041526374902
atlantic,340010128021,gerardo cedrone,49.76,0.842,0.0
atlantic,340010128022,gerardo cedrone,49.33,0.842,0.0
atlantic,340010130001,gerardo cedrone,52.36,0.895,0.0
atlantic,340010130002,gerardo cedrone,49.52,0.842,0.0
atlantic,340010130003,gerardo cedrone,49.63,0.842,0.0
atlantic,340010130004,gerardo cedrone,49.51,0.842,0.0
atlantic,340010131011,gerardo cedrone,49.16,0.842,0.0
atlantic,340010131021,gerardo cedrone,49.7,0.842,0.0
atlantic,340010131022,gerardo cedrone,49.57,0.842,0.0
atlantic,340010131023,gerardo cedrone,49.69,0.842,0.0
atlantic,340010132011,gerardo cedrone,51.87,0.842,0.19791666666666627
atlantic,340010132012,gerardo cedrone,50.47,0.842,0.0
atlantic,340010132013,gerardo cedrone,50.37,0.842,0.0
atlantic,340010132021,gerardo cedrone,50.08,0.842,0.0
atlantic,340010132022,gerardo cedrone,50.74,0.842,0.0
atlantic,340010133011,gerardo cedrone,50.93,0.842,0.0
atlantic,340010133012,gerardo cedrone,52.75,0.895,0.0
atlantic,340010133013,gerardo cedrone,49.77,0.842,0.0
atlantic,340010133021,gerardo cedrone,49.63,0.842,0.0
atlantic,340010133022,gerardo cedrone,51.39,0.842,0.0
atlantic,340010133023,gerardo cedrone,50.33,0.842,0.0
atlantic,340010135001,gerardo cedrone,49.84,0.842,0.0
atlantic,340010135002,gerardo cedrone,49.44,0.842,0.0
atlantic,340010135003,gerardo cedrone,50.24,0.842,0.0
atlantic,340019834001,gerardo cedrone,53.54,0.895,0.0
bergen,340030010012,gerardo cedrone,50.39,0.842,0.0
bergen,340030010013,gerardo cedrone,50.13,0.842,0.0
bergen,340030010021,gerardo cedrone,50.91,0.842,0.0
bergen,340030010022,gerardo cedrone,50.72,0.842,0.0
bergen,340030021001,gerardo cedrone,50.66,0.842,0.0
bergen,340030021002,gerardo cedrone,50.26,0.842,0.0
bergen,340030022001,gerardo cedrone,50.65,0.842,0.0
bergen,340030022002,gerardo cedrone,50.85,0.842,0.0
bergen,340030022003,gerardo cedrone,50.68,0.842,0.0
bergen,340030022004,gerardo cedrone,50.43,0.842,0.0
bergen,340030023001,gerardo cedrone,50.36,0.842,0.0
bergen,340030023002,gerardo cedrone,50.52,0.842,0.0
bergen,340030023003,gerardo cedrone,51.46,0.842,0.0
bergen,340030031001,gerardo cedrone,51.35,0.842,0.0
bergen,340030031002,gerardo cedrone,51.5,0.842,0.0
bergen,340030031003,gerardo cedrone,50.77,0.842,0.0
bergen,340030031004,gerardo cedrone,51.63,0.842,0.0
bergen,340030031005,gerardo cedrone,51.81,0.842,0.05295315682281091
bergen,340030032001,gerardo cedrone,51.06,0.842,0.0
bergen,340030032002,gerardo cedrone,51.64,0.842,0.120798319327731
bergen,340030032003,gerardo cedrone,50.92,0.842,0.0
bergen,340030032004,gerardo cedrone,52.33,0.842,0.07692307692307666
bergen,340030032005,gerardo cedrone,51.12,0.842,0.0
bergen,340030033001,gerardo cedrone,52.03,0.842,0.10907335907335933
bergen,340030033002,gerardo cedrone,51.22,0.842,0.0
bergen,340030033003,gerardo cedrone,50.92,0.842,0.0
bergen,340030033004,gerardo cedrone,50.56,0.842,0.0
bergen,340030033005,gerardo cedrone,51.38,0.842,0.0
bergen,340030033006,gerardo cedrone,51.99,0.842,0.0950369588173177
bergen,340030034011,gerardo cedrone,51.2,0.842,0.0
bergen,340030034012,gerardo cedrone,50.97,0.842,0.0
bergen,340030034021,gerardo cedrone,51.04,0.842,0.0
bergen,340030034022,gerardo cedrone,51.28,0.842,0.0
bergen,340030034023,gerardo cedrone,47.87,0.789,0.0
bergen,340030035001,gerardo cedrone,51.41,0.842,0.0
bergen,340030035002,gerardo cedrone,52.54,0.842,0.34439528023598825
bergen,340030035003,gerardo cedrone,51.28,0.842,0.0
bergen,340030040011,gerardo cedrone,51.61,0.842,0.0
bergen,340030040012,gerardo cedrone,52.17,0.842,0.2252794496990545
bergen,340030040021,gerardo cedrone,51.42,0.842,0.03953488372093062
bergen,340030040022,gerardo cedrone,54.04,0.895,0.022106631989597086
bergen,340030040023,gerardo cedrone,51.05,0.842,0.0
bergen,340030040024,gerardo cedrone,52.2,0.842,0.15645617342130103
bergen,340030050001,gerardo cedrone,49.32,0.842,0.0
bergen,340030050002,gerardo cedrone,50.93,0.842,0.0
bergen,340030050003,gerardo cedrone,50.95,0.842,0.0
bergen,340030050004,gerardo cedrone,50.34,0.842,0.0
bergen,340030050005,gerardo cedrone,49.28,0.842,0.0
bergen,340030061011,gerardo cedrone,50.53,0.842,0.0
bergen,340030061012,gerardo cedrone,51.56,0.842,0.0
bergen,340030061013,gerardo cedrone,51.62,0.842,0.0
bergen,340030061014,gerardo cedrone,50.64,0.842,0.0
bergen,340030061021,gerardo cedrone,50.95,0.842,0.0
bergen,340030061022,gerardo cedrone,50.74,0.842,0.0
bergen,340030061023,gerardo cedrone,51.95,0.842,0.1906130268199236
bergen,340030062011,gerardo cedrone,51.26,0.842,0.07949308755760343
bergen,340030062012,gerardo cedrone,50.88,0.842,0.0
bergen,340030062013,gerardo cedrone,50.8,0.842,0.0
bergen,340030062014,gerardo cedrone,50.38,0.842,0.0
bergen,340030062021,gerardo cedrone,51.42,0.842,0.06555423122765247
bergen,340030062022,gerardo cedrone,50.72,0.842,0.0
bergen,340030062023,gerardo cedrone,50.73,0.842,0.0
bergen,340030062024,gerardo cedrone,50.84,0.842,0.0
bergen,340030063011,gerardo cedrone,51.9,0.842,0.188714153561517
bergen,340030063012,gerardo cedrone,51.57,0.842,0.23686818632309214
bergen,340030063013,gerardo cedrone,51.78,0.842,0.22167968750000025
bergen,340030063021,gerardo cedrone,50.92,0.842,0.0
bergen,340030063022,gerardo cedrone,51.88,0.842,0.09482758620689681
bergen,340030063023,gerardo cedrone,50.35,0.842,0.0
bergen,340030063024,gerardo cedrone,51.63,0.842,0.22273998136067114
bergen,340030070011,gerardo cedrone,50.73,0.842,0.0
bergen,340030070012,gerardo cedrone,51.4,0.842,0.0
bergen,340030070021,gerardo cedrone,50.23,0.842,0.0
bergen,340030070022,gerardo cedrone,51.84,0.842,0.12462006079027399
bergen,340030070023,gerardo cedrone,51.25,0.842,0.0
bergen,340030070024,gerardo cedrone,50.6,0.842,0.0
bergen,340030080011,gerardo cedrone,50.68,0.842,0.0
bergen,340030080012,gerardo cedrone,51.23,0.842,0.0
bergen,340030080013,gerardo cedrone,50.45,0.842,0.0
bergen,340030080021,gerardo cedrone,50.95,0.842,0.0
bergen,340030080022,gerardo cedrone,51.24,0.842,0.0
bergen,340030080023,gerardo cedrone,50.67,0.842,0.0
bergen,340030091001,gerardo cedrone,50.17,0.842,0.0
bergen,340030091002,gerardo cedrone,50.61,0.842,0.0
bergen,340030091003,gerardo cedrone,53.42,0.895,0.0
bergen,340030091004,gerardo cedrone,50.82,0.842,0.0
bergen,340030092001,gerardo cedrone,51.21,0.842,0.0
bergen,340030092002,gerardo cedrone,50.98,0.842,0.0
bergen,340030092003,gerardo cedrone,50.9,0.842,0.0
bergen,340030101001,gerardo cedrone,49.97,0.842,0.0
bergen,340030101002,gerardo cedrone,51.34,0.842,0.0
bergen,340030101003,gerardo cedrone,54.0,0.895,0.0
bergen,340030101004,gerardo cedrone,49.85,0.842,0.0
bergen,340030101005,gerardo cedrone,50.24,0.842,0.0
bergen,340030101006,gerardo cedrone,50.74,0.842,0.0
bergen,340030101007,gerardo cedrone,50.54,0.842,0.0
bergen,340030102001,gerardo cedrone,50.37,0.842,0.0
bergen,340030102002,gerardo cedrone,51.43,0.842,0.07932692307692267
bergen,340030102003,gerardo cedrone,51.03,0.842,0.0
bergen,340030102004,gerardo cedrone,51.52,0.842,0.0
bergen,340030102005,gerardo cedrone,49.58,0.842,0.0
bergen,340030103001,gerardo cedrone,54.24,0.895,0.0
bergen,340030103002,gerardo cedrone,51.36,0.842,0.0
bergen,340030103003,gerardo cedrone,49.84,0.842,0.0
bergen,340030103004,gerardo cedrone,54.2,0.895,0.0
bergen,340030103005,gerardo cedrone,51.63,0.842,0.0
bergen,340030103006,gerardo cedrone,51.01,0.842,0.0
bergen,340030103007,gerardo cedrone,51.15,0.842,0.0
bergen,340030111001,gerardo cedrone,51.6,0.842,0.0
bergen,340030111002,gerardo cedrone,51.94,0.842,0.1427135678391955
bergen,340030111003,gerardo cedrone,52.26,0.842,0.22525597269624567
bergen,340030111004,gerardo cedrone,51.34,0.842,0.0
bergen,340030112001,gerardo cedrone,52.09,0.842,0.2637759710930444
bergen,340030112002,gerardo cedrone,50.67,0.842,0.0
bergen,340030112003,gerardo cedrone,51.14,0.842,0.0
bergen,340030112004,gerardo cedrone,51.07,0.842,0.0
bergen,340030113001,gerardo cedrone,51.27,0.842,0.0
bergen,340030113002,gerardo cedrone,49.93,0.842,0.0
bergen,340030113003,gerardo cedrone,52.82,0.895,0.0
bergen,340030113004,gerardo cedrone,51.08,0.842,0.0
bergen,340030114001,gerardo cedrone,50.4,0.842,0.0
bergen,340030114002,gerardo cedrone,50.89,0.842,0.0
bergen,340030114003,gerardo cedrone,51.15,0.842,0.0
bergen,340030114004,gerardo cedrone,49.36,0.842,0.0
bergen,340030114005,gerardo cedrone,50.63,0.842,0.0
bergen,340030120011,gerardo cedrone,51.2,0.842,0.01804123711340214
bergen,340030120012,gerardo cedrone,50.75,0.842,0.0
bergen,340030120013,gerardo cedrone,52.12,0.842,0.2052919708029197
bergen,340030120014,gerardo cedrone,51.18,0.842,0.0
bergen,340030120021,gerardo cedrone,50.09,0.842,0.0
bergen,340030120022,gerardo cedrone,49.44,0.842,0.0
bergen,340030120023,gerardo cedrone,50.34,0.842,0.0
bergen,340030130021,gerardo cedrone,51.54,0.842,0.0
bergen,340030130022,gerardo cedrone,52.21,0.842,0.1312559017941455
bergen,340030130023,gerardo cedrone,52.48,0.842,0.3216237314597968
bergen,340030130024,gerardo cedrone,51.32,0.842,0.0
bergen,340030130031,gerardo cedrone,50.92,0.842,0.0
bergen,340030130041,gerardo cedrone,51.59,0.842,0.009163802978236582
bergen,340030130042,gerardo cedrone,51.07,0.842,0.0
bergen,340030130043,gerardo cedrone,50.45,0.842,0.0
